well,row,column,sample_id,analyte,condition,condition_code,replicate,details
A1,A,1,S01,IL-2,Negative control,NEG,1,Media / vehicle only
A2,A,2,S01,IL-2,Negative control,NEG,2,Media / vehicle only
A3,A,3,S01,IL-2,Negative control,NEG,3,Media / vehicle only
A4,A,4,S01,IL-2,Low antigen,Ag-L,1,Synthetic low-stimulation condition
A5,A,5,S01,IL-2,Low antigen,Ag-L,2,Synthetic low-stimulation condition
A6,A,6,S01,IL-2,Low antigen,Ag-L,3,Synthetic low-stimulation condition
A7,A,7,S01,IL-2,High antigen,Ag-H,1,Synthetic high-stimulation condition
A8,A,8,S01,IL-2,High antigen,Ag-H,2,Synthetic high-stimulation condition
A9,A,9,S01,IL-2,High antigen,Ag-H,3,Synthetic high-stimulation condition
A10,A,10,S01,IL-2,Positive control,POS,1,Mitogen positive control
A11,A,11,S01,IL-2,Positive control,POS,2,Mitogen positive control
A12,A,12,S01,IL-2,Positive control,POS,3,Mitogen positive control
B1,B,1,S02,IL-2,Negative control,NEG,1,Media / vehicle only
B2,B,2,S02,IL-2,Negative control,NEG,2,Media / vehicle only
B3,B,3,S02,IL-2,Negative control,NEG,3,Media / vehicle only
B4,B,4,S02,IL-2,Low antigen,Ag-L,1,Synthetic low-stimulation condition
B5,B,5,S02,IL-2,Low antigen,Ag-L,2,Synthetic low-stimulation condition
B6,B,6,S02,IL-2,Low antigen,Ag-L,3,Synthetic low-stimulation condition
B7,B,7,S02,IL-2,High antigen,Ag-H,1,Synthetic high-stimulation condition
B8,B,8,S02,IL-2,High antigen,Ag-H,2,Synthetic high-stimulation condition
B9,B,9,S02,IL-2,High antigen,Ag-H,3,Synthetic high-stimulation condition
B10,B,10,S02,IL-2,Positive control,POS,1,Mitogen positive control
B11,B,11,S02,IL-2,Positive control,POS,2,Mitogen positive control
B12,B,12,S02,IL-2,Positive control,POS,3,Mitogen positive control
C1,C,1,S03,IL-2,Negative control,NEG,1,Media / vehicle only
C2,C,2,S03,IL-2,Negative control,NEG,2,Media / vehicle only
C3,C,3,S03,IL-2,Negative control,NEG,3,Media / vehicle only
C4,C,4,S03,IL-2,Low antigen,Ag-L,1,Synthetic low-stimulation condition
C5,C,5,S03,IL-2,Low antigen,Ag-L,2,Synthetic low-stimulation condition
C6,C,6,S03,IL-2,Low antigen,Ag-L,3,Synthetic low-stimulation condition
C7,C,7,S03,IL-2,High antigen,Ag-H,1,Synthetic high-stimulation condition
C8,C,8,S03,IL-2,High antigen,Ag-H,2,Synthetic high-stimulation condition
C9,C,9,S03,IL-2,High antigen,Ag-H,3,Synthetic high-stimulation condition
C10,C,10,S03,IL-2,Positive control,POS,1,Mitogen positive control
C11,C,11,S03,IL-2,Positive control,POS,2,Mitogen positive control
C12,C,12,S03,IL-2,Positive control,POS,3,Mitogen positive control
D1,D,1,S04,IL-2,Negative control,NEG,1,Media / vehicle only
D2,D,2,S04,IL-2,Negative control,NEG,2,Media / vehicle only
D3,D,3,S04,IL-2,Negative control,NEG,3,Media / vehicle only
D4,D,4,S04,IL-2,Low antigen,Ag-L,1,Synthetic low-stimulation condition
D5,D,5,S04,IL-2,Low antigen,Ag-L,2,Synthetic low-stimulation condition
