well,row,column,synthetic_spot_count,plate
A1,A,1,2,Plate 1 IFN-gamma
A2,A,2,1,Plate 1 IFN-gamma
A3,A,3,1,Plate 1 IFN-gamma
A4,A,4,0,Plate 1 IFN-gamma
A5,A,5,3,Plate 1 IFN-gamma
A6,A,6,1,Plate 1 IFN-gamma
A7,A,7,1,Plate 1 IFN-gamma
A8,A,8,1,Plate 1 IFN-gamma
A9,A,9,3,Plate 1 IFN-gamma
A10,A,10,2,Plate 1 IFN-gamma
A11,A,11,1,Plate 1 IFN-gamma
A12,A,12,3,Plate 1 IFN-gamma
B1,B,1,8,Plate 1 IFN-gamma
B2,B,2,3,Plate 1 IFN-gamma
B3,B,3,4,Plate 1 IFN-gamma
B4,B,4,1,Plate 1 IFN-gamma
B5,B,5,3,Plate 1 IFN-gamma
B6,B,6,2,Plate 1 IFN-gamma
B7,B,7,7,Plate 1 IFN-gamma
B8,B,8,1,Plate 1 IFN-gamma
B9,B,9,6,Plate 1 IFN-gamma
B10,B,10,8,Plate 1 IFN-gamma
B11,B,11,7,Plate 1 IFN-gamma
B12,B,12,3,Plate 1 IFN-gamma
C1,C,1,10,Plate 1 IFN-gamma
C2,C,2,7,Plate 1 IFN-gamma
C3,C,3,17,Plate 1 IFN-gamma
C4,C,4,14,Plate 1 IFN-gamma
C5,C,5,8,Plate 1 IFN-gamma
C6,C,6,15,Plate 1 IFN-gamma
C7,C,7,13,Plate 1 IFN-gamma
C8,C,8,5,Plate 1 IFN-gamma
C9,C,9,8,Plate 1 IFN-gamma
C10,C,10,12,Plate 1 IFN-gamma
C11,C,11,13,Plate 1 IFN-gamma
C12,C,12,4,Plate 1 IFN-gamma
D1,D,1,41,Plate 1 IFN-gamma
D2,D,2,33,Plate 1 IFN-gamma
D3,D,3,17,Plate 1 IFN-gamma
D4,D,4,13,Plate 1 IFN-gamma
D5,D,5,33,Plate 1 IFN-gamma
D6,D,6,33,Plate 1 IFN-gamma
D7,D,7,23,Plate 1 IFN-gamma
D8,D,8,14,Plate 1 IFN-gamma
D9,D,9,22,Plate 1 IFN-gamma
D10,D,10,44,Plate 1 IFN-gamma
D11,D,11,35,Plate 1 IFN-gamma
D12,D,12,18,Plate 1 IFN-gamma
E1,E,1,79,Plate 1 IFN-gamma
E2,E,2,56,Plate 1 IFN-gamma
E3,E,3,35,Plate 1 IFN-gamma
E4,E,4,43,Plate 1 IFN-gamma
E5,E,5,50,Plate 1 IFN-gamma
E6,E,6,53,Plate 1 IFN-gamma
E7,E,7,47,Plate 1 IFN-gamma
E8,E,8,29,Plate 1 IFN-gamma
E9,E,9,27,Plate 1 IFN-gamma
E10,E,10,63,Plate 1 IFN-gamma
E11,E,11,54,Plate 1 IFN-gamma
E12,E,12,48,Plate 1 IFN-gamma
F1,F,1,94,Plate 1 IFN-gamma
F2,F,2,73,Plate 1 IFN-gamma
F3,F,3,60,Plate 1 IFN-gamma
F4,F,4,71,Plate 1 IFN-gamma
F5,F,5,74,Plate 1 IFN-gamma
F6,F,6,84,Plate 1 IFN-gamma
F7,F,7,73,Plate 1 IFN-gamma
F8,F,8,58,Plate 1 IFN-gamma
F9,F,9,68,Plate 1 IFN-gamma
F10,F,10,94,Plate 1 IFN-gamma
F11,F,11,86,Plate 1 IFN-gamma
F12,F,12,53,Plate 1 IFN-gamma
G1,G,1,152,Plate 1 IFN-gamma
G2,G,2,120,Plate 1 IFN-gamma
G3,G,3,87,Plate 1 IFN-gamma
G4,G,4,81,Plate 1 IFN-gamma
G5,G,5,109,Plate 1 IFN-gamma
G6,G,6,143,Plate 1 IFN-gamma
G7,G,7,103,Plate 1 IFN-gamma
G8,G,8,75,Plate 1 IFN-gamma
G9,G,9,86,Plate 1 IFN-gamma
G10,G,10,125,Plate 1 IFN-gamma
G11,G,11,128,Plate 1 IFN-gamma
G12,G,12,84,Plate 1 IFN-gamma
H1,H,1,162,Plate 1 IFN-gamma
H2,H,2,171,Plate 1 IFN-gamma
H3,H,3,115,Plate 1 IFN-gamma
H4,H,4,125,Plate 1 IFN-gamma
H5,H,5,163,Plate 1 IFN-gamma
H6,H,6,194,Plate 1 IFN-gamma
H7,H,7,154,Plate 1 IFN-gamma
H8,H,8,111,Plate 1 IFN-gamma
H9,H,9,120,Plate 1 IFN-gamma
H10,H,10,183,Plate 1 IFN-gamma
H11,H,11,201,Plate 1 IFN-gamma
H12,H,12,110,Plate 1 IFN-gamma
A1,A,1,1,Plate 2 IL-2
A2,A,2,0,Plate 2 IL-2
A3,A,3,3,Plate 2 IL-2
A4,A,4,13,Plate 2 IL-2
A5,A,5,16,Plate 2 IL-2
A6,A,6,11,Plate 2 IL-2
A7,A,7,37,Plate 2 IL-2
A8,A,8,44,Plate 2 IL-2
A9,A,9,44,Plate 2 IL-2
A10,A,10,83,Plate 2 IL-2
A11,A,11,88,Plate 2 IL-2
A12,A,12,69,Plate 2 IL-2
B1,B,1,2,Plate 2 IL-2
B2,B,2,1,Plate 2 IL-2
B3,B,3,4,Plate 2 IL-2
B4,B,4,16,Plate 2 IL-2
B5,B,5,16,Plate 2 IL-2
B6,B,6,13,Plate 2 IL-2
B7,B,7,54,Plate 2 IL-2
B8,B,8,51,Plate 2 IL-2
B9,B,9,58,Plate 2 IL-2
B10,B,10,108,Plate 2 IL-2
B11,B,11,100,Plate 2 IL-2
B12,B,12,87,Plate 2 IL-2
C1,C,1,3,Plate 2 IL-2
C2,C,2,0,Plate 2 IL-2
C3,C,3,4,Plate 2 IL-2
C4,C,4,17,Plate 2 IL-2
C5,C,5,17,Plate 2 IL-2
C6,C,6,18,Plate 2 IL-2
C7,C,7,57,Plate 2 IL-2
C8,C,8,55,Plate 2 IL-2
C9,C,9,54,Plate 2 IL-2
C10,C,10,114,Plate 2 IL-2
C11,C,11,128,Plate 2 IL-2
C12,C,12,130,Plate 2 IL-2
D1,D,1,7,Plate 2 IL-2
D2,D,2,3,Plate 2 IL-2
D3,D,3,3,Plate 2 IL-2
D4,D,4,14,Plate 2 IL-2
D5,D,5,23,Plate 2 IL-2
D6,D,6,18,Plate 2 IL-2
D7,D,7,53,Plate 2 IL-2
D8,D,8,57,Plate 2 IL-2
D9,D,9,59,Plate 2 IL-2
D10,D,10,134,Plate 2 IL-2
D11,D,11,135,Plate 2 IL-2
D12,D,12,131,Plate 2 IL-2
E1,E,1,4,Plate 2 IL-2
E2,E,2,0,Plate 2 IL-2
E3,E,3,1,Plate 2 IL-2
E4,E,4,14,Plate 2 IL-2
E5,E,5,26,Plate 2 IL-2
E6,E,6,20,Plate 2 IL-2
E7,E,7,66,Plate 2 IL-2
E8,E,8,59,Plate 2 IL-2
E9,E,9,64,Plate 2 IL-2
E10,E,10,154,Plate 2 IL-2
E11,E,11,170,Plate 2 IL-2
E12,E,12,151,Plate 2 IL-2
F1,F,1,4,Plate 2 IL-2
F2,F,2,4,Plate 2 IL-2
F3,F,3,5,Plate 2 IL-2
F4,F,4,21,Plate 2 IL-2
F5,F,5,19,Plate 2 IL-2
F6,F,6,20,Plate 2 IL-2
F7,F,7,51,Plate 2 IL-2
F8,F,8,73,Plate 2 IL-2
F9,F,9,64,Plate 2 IL-2
F10,F,10,132,Plate 2 IL-2
F11,F,11,132,Plate 2 IL-2
F12,F,12,133,Plate 2 IL-2
G1,G,1,1,Plate 2 IL-2
G2,G,2,5,Plate 2 IL-2
G3,G,3,2,Plate 2 IL-2
G4,G,4,23,Plate 2 IL-2
G5,G,5,11,Plate 2 IL-2
G6,G,6,11,Plate 2 IL-2
G7,G,7,61,Plate 2 IL-2
G8,G,8,51,Plate 2 IL-2
G9,G,9,48,Plate 2 IL-2
G10,G,10,103,Plate 2 IL-2
G11,G,11,97,Plate 2 IL-2
G12,G,12,103,Plate 2 IL-2
H1,H,1,2,Plate 2 IL-2
H2,H,2,3,Plate 2 IL-2
H3,H,3,2,Plate 2 IL-2
H4,H,4,10,Plate 2 IL-2
H5,H,5,14,Plate 2 IL-2
H6,H,6,20,Plate 2 IL-2
H7,H,7,40,Plate 2 IL-2
H8,H,8,35,Plate 2 IL-2
H9,H,9,64,Plate 2 IL-2
H10,H,10,101,Plate 2 IL-2
H11,H,11,76,Plate 2 IL-2
H12,H,12,96,Plate 2 IL-2
