well,synthetic_spot_count,spot_count,resolved_spot_count,signal_equivalent_count,count_method,absolute_error,well_qc
A1,2,2,2,2.038876889848812,resolved_peaks,0,PASS
A2,1,1,1,0.6323974082073434,resolved_peaks,0,PASS
A3,1,1,1,0.5632829373650108,resolved_peaks,0,PASS
A4,0,0,0,0.0,resolved_peaks,0,WARN_LOW_CONTRAST
A5,3,3,3,2.920086393088553,resolved_peaks,0,PASS
A6,1,1,1,1.0177105831533477,resolved_peaks,0,PASS
A7,1,1,1,0.8863930885529158,resolved_peaks,0,PASS
A8,1,1,1,1.7710583153347732,resolved_peaks,0,PASS
A9,3,3,3,2.6980561555075595,resolved_peaks,0,PASS
A10,2,2,2,1.2449244060475162,resolved_peaks,0,PASS
A11,1,1,1,0.767170626349892,resolved_peaks,0,PASS
A12,3,3,3,2.1321814254859612,resolved_peaks,0,PASS
B1,8,6,6,8.547732181425486,resolved_peaks,2,PASS
B2,3,3,3,1.6976241900647948,resolved_peaks,0,PASS
B3,4,4,4,2.566738660907127,resolved_peaks,0,PASS
B4,1,1,1,1.6423326133909286,resolved_peaks,0,PASS
B5,3,3,3,1.9265658747300216,resolved_peaks,0,PASS
B6,2,2,2,1.8660907127429807,resolved_peaks,0,PASS
B7,7,6,6,5.0730021598272135,resolved_peaks,1,PASS
B8,1,1,1,1.2371490280777537,resolved_peaks,0,PASS
B9,6,6,6,6.909719222462203,resolved_peaks,0,PASS
B10,8,7,7,8.653995680345572,resolved_peaks,1,PASS
B11,7,7,7,5.739956803455724,resolved_peaks,0,PASS
B12,3,3,3,4.4086393088552915,resolved_peaks,0,PASS
C1,10,10,10,8.262634989200864,resolved_peaks,0,PASS
C2,7,6,6,8.72742980561555,resolved_peaks,1,PASS
C3,17,17,17,16.962419006479482,resolved_peaks,0,PASS
C4,14,14,14,12.95550755939525,resolved_peaks,0,PASS
C5,8,8,8,8.0,resolved_peaks,0,PASS
C6,15,13,13,16.93390928725702,resolved_peaks,2,PASS
