well,synthetic_spot_count,spot_count,resolved_spot_count,signal_equivalent_count,count_method,absolute_error,well_qc
A1,1,1,1,1.0826114515106697,resolved_peaks,0,PASS
A2,0,0,0,0.0,resolved_peaks,0,PASS
A3,3,2,2,1.4206634270019016,resolved_peaks,1,PASS
A4,13,15,15,13.484048172406508,resolved_peaks,2,PASS
A5,16,13,13,16.169025987745616,resolved_peaks,3,PASS
A6,11,11,11,12.444538347770969,resolved_peaks,0,PASS
A7,37,38,30,37.40122543841115,signal_equivalent_crowding_corrected,1,PASS
A8,44,53,32,51.18529473906613,signal_equivalent_crowding_corrected,9,PASS
A9,44,47,35,45.57025142615677,signal_equivalent_crowding_corrected,3,PASS
A10,83,81,41,77.16543418550602,signal_equivalent_crowding_corrected,2,PASS
A11,88,81,49,77.34460173251638,signal_equivalent_crowding_corrected,7,PASS
A12,69,67,37,64.68878090006338,signal_equivalent_crowding_corrected,2,PASS
B1,2,1,1,1.2060004225649694,resolved_peaks,1,PASS
B2,1,1,1,0.7639974646101838,resolved_peaks,0,PASS
B3,4,4,4,3.7498415381364887,resolved_peaks,0,PASS
B4,16,16,16,18.668075216564546,resolved_peaks,0,PASS
B5,16,17,17,19.655186984998945,resolved_peaks,1,PASS
B6,13,13,13,11.12444538347771,resolved_peaks,0,PASS
B7,54,59,36,56.79104162264948,signal_equivalent_crowding_corrected,5,PASS
B8,51,50,33,48.37354743291781,signal_equivalent_crowding_corrected,1,PASS
B9,58,57,41,55.42108599197127,signal_equivalent_crowding_corrected,1,PASS
B10,108,119,61,110.72723431227551,signal_equivalent_crowding_corrected,11,WARN_CROWDED
B11,100,105,56,98.00633847454046,signal_equivalent_crowding_corrected,5,WARN_CROWDED
B12,87,88,46,83.63743925628566,signal_equivalent_crowding_corrected,1,PASS
C1,3,3,3,2.0266215930699345,resolved_peaks,0,PASS
C2,0,0,0,0.0,resolved_peaks,0,PASS
C3,4,4,4,2.8573843228396365,resolved_peaks,0,PASS
C4,17,17,17,19.821677582928377,resolved_peaks,0,PASS
C5,17,15,15,16.37861821255018,resolved_peaks,2,PASS
C6,18,17,17,15.136277202619903,resolved_peaks,1,PASS
C7,57,59,40,57.072469892245934,signal_equivalent_crowding_corrected,2,PASS
C8,55,51,34,49.59729558419607,signal_equivalent_crowding_corrected,4,PASS
C9,54,61,50,58.432283963659415,signal_equivalent_crowding_corrected,7,PASS
C10,114,113,58,105.34967251214874,signal_equivalent_crowding_corrected,1,WARN_CROWDED
C11,128,119,55,110.34523557997042,signal_equivalent_crowding_corrected,9,WARN_CROWDED
C12,130,124,57,114.67652651595182,signal_equivalent_crowding_corrected,6,WARN_CROWDED
D1,7,6,6,6.018170293682654,resolved_peaks,1,PASS
D2,3,3,3,3.1641664905979296,resolved_peaks,0,PASS
D3,3,3,3,3.4853158673145996,resolved_peaks,0,PASS
D4,14,10,10,14.377350517642087,resolved_peaks,4,PASS
D5,23,18,18,20.736108176632158,resolved_peaks,5,PASS
D6,18,16,16,16.05831396577224,resolved_peaks,2,PASS
D7,53,53,38,50.828649904922884,signal_equivalent_crowding_corrected,0,PASS
D8,57,67,43,63.866469469680965,signal_equivalent_crowding_corrected,10,PASS
D9,59,61,33,58.75174308049863,signal_equivalent_crowding_corrected,2,PASS
D10,134,122,68,113.08430171138812,signal_equivalent_crowding_corrected,12,WARN_CROWDED
D11,135,128,65,118.12296640608494,signal_equivalent_crowding_corrected,7,WARN_CROWDED
D12,131,130,65,119.56898373124868,signal_equivalent_crowding_corrected,1,WARN_CROWDED
E1,4,4,4,3.6974434819353474,resolved_peaks,0,PASS
E2,0,0,0,0.0,resolved_peaks,0,PASS
